,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
219,12-08,3.4,3.0,2.1,-3.0,6.1
220,12-09,3.2,3.0,1.4,-2.9,4.2
221,12-10,3.0,0.0,-1.6,-5.9,3.6
222,12-11,2.5,0.0,-1.1,-6.1,6.4
223,12-12,2.0,0.0,2.3,-3.0,6.3
224,12-13,1.7,0.0,3.4,-0.4,8.8
225,12-14,2.1,0.1,-1.4,-2.3,-0.1
226,12-15,1.9,0.0,-5.0,-7.6,-1.5
227,12-16,1.5,0.0,-4.7,-9.8,0.0
228,12-17,1.2,0.0,2.7,-2.7,8.0
229,12-19,1.7,0.1,7.2,4.3,12.0
230,12-20,2.1,0.0,7.6,4.4,13.6
231,12-21,2.5,29.0,7.9,4.1,12.6
232,12-22,3.5,23.5,5.5,1.5,11.0
233,12-23,5.2,0.1,-2.5,-4.4,1.5
234,12-24,6.0,0.0,-2.4,-4.3,1.1
235,12-25,5.0,0.0,1.0,-4.5,6.4
236,12-26,4.0,0.0,2.5,1.3,4.4
237,12-27,3.3,0.5,-2.3,-6.3,1.3
238,12-28,2.2,0.0,-3.7,-8.4,2.6
239,12-29,1.4,0.3,-4.2,-7.2,-1.1
240,12-30,1.0,0.0,-3.9,-9.1,1.0
241,12-31,0.9,0.0,0.7,-3.6,5.7
242,01-01,1.0,0.0,2.7,-1.6,6.9
243,01-02,1.1,0.3,5.0,1.8,9.2
244,01-03,1.2,0.0,2.0,-2.3,7.7
245,01-04,1.5,0.0,3.9,1.0,8.9
246,01-05,2.1,0.0,3.8,-0.1,7.3
247,01-06,2.8,0.0,5.4,2.5,11.4
248,01-07,4.1,0.0,4.6,0.0,10.5
249,01-08,4.7,0.0,6.5,4.0,10.9
250,01-09,5.5,0.0,1.5,-3.1,4.3
251,01-10,4.7,0.0,-3.7,-7.4,1.1
252,01-11,3.8,0.0,-3.8,-9.4,1.5
253,01-12,2.6,0.0,-2.2,-6.1,1.0
254,01-13,2.0,0.6,-6.0,-8.6,-1.4
255,01-14,1.3,0.0,-8.4,-10.5,-5.4
256,01-15,0.8,0.0,-6.6,-11.5,-0.9
257,01-16,0.4,0.0,-3.8,-8.9,4.0
258,01-17,0.3,0.0,-2.0,-7.1,3.4
259,01-18,0.3,0.0,-0.5,-3.0,2.8
260,01-19,0.4,0.0,-1.2,-4.9,4.7
261,01-20,0.4,4.0,-4.4,-7.8,-1.4
262,01-21,0.5,2.1,-5.2,-10.0,-0.9
263,01-22,0.5,0.0,-8.3,-10.9,-3.3
264,01-23,0.5,0.0,-8.9,-12.6,-4.1
265,01-24,0.4,0.0,-7.0,-11.6,-1.3
266,01-25,0.3,0.0,-5.2,-10.2,0.9
267,01-26,0.3,0.3,-1.3,-7.9,3.4
268,01-27,0.2,3.0,-2.6,-5.7,3.1
269,01-28,0.3,0.0,-1.6,-8.2,4.3
270,01-29,0.3,4.5,0.8,-0.9,2.5
271,01-30,0.4,0.1,-4.8,-7.9,-0.9
272,01-31,0.5,0.0,-5.4,-9.9,0.2
273,02-01,0.6,0.0,-4.0,-7.5,0.7
274,02-02,0.6,0.0,-2.7,-9.2,3.3
